ticker,start_date_actual,start_price,end_date_actual,end_price,raw_return,normal_return_spy,excess_return,cluster,CAR,MaxDrawdown,Volatility,label
GILT,2025-01-27,6.77,2025-02-10,7.42,0.09601181683899562,0.009142900901601747,0.08686891593739388,1,0.02748507439132819,-0.031372549019607954,0.031179010110735803,Vulnerable
GLBE,2025-01-27,58.03,2025-02-10,61.82,0.06531104601068405,0.009142900901601747,0.0561681451090823,1,0.09234441851013486,-0.03446569920844322,0.020744954259297253,Vulnerable
GLOB,2025-01-27,207.56,2025-02-10,216.18,0.041530159953748313,0.009142900901601747,0.032387259052146566,1,0.06336553984656668,-0.007288420043154997,0.012081737668818442,Vulnerable
GNRC,2025-01-27,155.3,2025-02-10,145.07,-0.06587250482936269,0.009142900901601747,-0.07501540573096444,1,-0.07459146122250315,-0.0849323889246617,0.020079311517340083,Vulnerable
GNS,2025-01-27,0.573,2025-02-10,0.375,-0.3455497382198952,0.009142900901601747,-0.35469263912149696,1,-0.4729307652949556,-0.34554973821989543,0.05128778763228958,Vulnerable
GOOGL,2025-01-27,190.9273,2025-02-10,185.6119,-0.02783991603086622,0.009142900901601747,-0.036982816932467966,1,-0.06090091374365347,-0.10194795996500994,0.03160995439213854,Vulnerable
GRND,2025-01-27,17.81,2025-02-10,17.96,0.008422234699607012,0.009142900901601747,-0.0007206662019947352,1,-0.0013679145161157313,-0.016075388026607462,0.00942094397783686,Vulnerable
GRRR,2025-01-27,12.62,2025-02-10,21.27,0.685419968304279,0.009142900901601747,0.6762770674026772,1,0.3831334983253539,-0.09979064898813661,0.10549336799158722,Vulnerable
GRVY,2025-01-27,61.09,2025-02-10,62.75,0.027173023408086472,0.009142900901601747,0.018030122506484725,1,0.012792696992300234,-0.01768941765810883,0.012241291307872664,Vulnerable
GSIT,2025-01-27,2.86,2025-02-10,3.17,0.10839160839160833,0.009142900901601747,0.09924870749000658,1,0.003709247966932838,-0.04109589041095896,0.04690422010509381,Vulnerable
GTLB,2025-01-27,64.76,2025-02-10,71.28,0.10067943174799243,0.009142900901601747,0.09153653084639068,1,0.1102859461105562,-0.046323024054982676,0.044859079537462564,Vulnerable
GTM,2025-01-27,10.11,2025-02-10,10.28,0.016815034619188873,0.009142900901601747,0.007672133717587126,1,0.03699744969645968,-0.04761904761904778,0.022399760500615967,Vulnerable
GWRE,2025-01-27,202.8,2025-02-10,218.12,0.075542406311637,0.009142900901601747,0.06639950541003525,1,0.06339897990194898,-0.021492072220694602,0.014448325753848029,Vulnerable
GXAI,2025-01-27,1.74,2025-02-10,1.54,-0.11494252873563215,0.009142900901601747,-0.1240854296372339,1,-0.2328658835263766,-0.1954022988505748,0.05547500828973287,Vulnerable
HCAT,2025-01-27,5.68,2025-02-10,5.75,0.012323943661971981,0.009142900901601747,0.003181042760370234,1,0.007609463828180618,-0.06791171477079783,0.03513791786559092,Vulnerable
HCTI,2025-01-27,12265.7402,2025-02-10,9113.4004,-0.25700363358421696,0.009142900901601747,-0.2661465344858187,1,-0.24499421095441576,-0.2570036335842172,0.04798453589544238,Vulnerable
HEPS,2025-01-27,3.06,2025-02-10,3.58,0.16993464052287588,0.009142900901601747,0.16079173962127413,1,0.14546917086004163,-0.024523160762942697,0.02122081146869696,Vulnerable
HIMX,2025-01-27,8.9163,2025-02-10,9.1276,0.023698170765900528,0.009142900901601747,0.014555269864298781,1,-0.23722815953406462,-0.08003455616920185,0.09839247952952945,Vulnerable
HLIT,2025-01-27,11.56,2025-02-10,11.12,-0.03806228373702436,0.009142900901601747,-0.04720518463862611,1,-0.056640479446597336,-0.04844290657439454,0.014644728943478617,Vulnerable
HNST,2025-01-27,6.04,2025-02-10,6.09,0.008278145695364225,0.009142900901601747,-0.0008647552062375219,1,0.005274829139729986,-0.12388059701492582,0.0374773399168582,Vulnerable
HOLO,2025-01-27,67.2,2025-02-10,52.8,-0.2142857142857144,0.009142900901601747,-0.22342861518731616,1,-0.11564680205583477,-0.32307692307692315,0.08937204519274997,Vulnerable
HOUR,2025-01-27,2.0,2025-02-10,2.28,0.1399999999999999,0.009142900901601747,0.13085709909839816,1,0.13135649967774699,-0.050209205020920744,0.0649260515893838,Vulnerable
HPE,2025-01-27,22.2044,2025-02-10,20.7338,-0.06623011655347588,0.009142900901601747,-0.07537301745507763,1,-0.11834067197716713,-0.10849651420439199,0.030041058173032043,Vulnerable
HPQ,2025-01-27,31.4061,2025-02-10,30.9255,-0.01530275965497141,0.009142900901601747,-0.024445660556573157,1,0.00844795203215265,-0.039903076153995465,0.013107733146849673,Vulnerable
HSTM,2025-01-27,31.996,2025-02-10,33.2981,0.04069571196399546,0.009142900901601747,0.031552811062393715,1,0.04489601716274161,-0.010181176123198465,0.008963330465054571,Vulnerable
HUBB,2025-01-27,407.9872,2025-02-10,393.4897,-0.03553420303382049,0.009142900901601747,-0.044677103935422235,1,-0.11951838506115464,-0.07403228537925777,0.030235188343419688,Vulnerable
HUBC,2025-01-27,104.55,2025-02-10,121.35,0.16068866571018647,0.009142900901601747,0.15154576480858473,1,0.2823456156255669,-0.3368852459016394,0.13882347073814127,Vulnerable
HUBS,2025-01-27,758.43,2025-02-10,805.57,0.06215471434410569,0.009142900901601747,0.05301181344250394,1,0.11174461770285249,-0.03896447134928349,0.02572507713672851,Vulnerable
HUYA,2025-01-27,2.0558,2025-02-10,2.1665,0.05384765054966434,0.009142900901601747,0.04470474964806259,1,-0.006185663570745681,-0.06163973668461986,0.038569633332797955,Vulnerable
IAC,2025-01-27,35.4389,2025-02-10,33.9377,-0.04236023127128652,0.009142900901601747,-0.051503132172888266,1,-0.022627147001005654,-0.04435033100834351,0.017760367917790888,Vulnerable
IBM,2025-01-27,217.2463,2025-02-10,243.2238,0.1195762597567831,0.009142900901601747,0.11043335885518135,1,0.12376050184811227,-0.05115831622048417,0.04232293939787979,Vulnerable
ICHR,2025-01-27,26.81,2025-02-10,34.06,0.27042148452070136,0.009142900901601747,0.2612785836190996,1,0.17163123824530002,-0.02419646081617921,0.05549988418930021,Vulnerable
IFNNY,2025-01-27,34.4845,2025-02-10,37.2869,0.08126549609244749,0.009142900901601747,0.07212259519084574,1,0.07791945124313637,-0.0895358784381387,0.04452543857013722,Vulnerable
IMMR,2025-01-27,8.1767,2025-02-10,8.1379,-0.004745190602565841,0.009142900901601747,-0.013888091504167588,1,-0.003737152698899071,-0.03994281768290486,0.013426957783378938,Vulnerable
